combo,method,avg_mono,avg_iqr,avg_eta2,mono_ok,iqr_ok
TotalCO2 + SpeedStd,min-max,-0.8603174603174603,0.11210126891519841,0.28082166214636245,True,True
TotalTravelTime,min-max,-0.8637806637806636,0.21283647523528904,0.21991155310060218,True,True
TotalTravelTime,popart,-0.8637806637806636,0.1439501775813326,0.22002599157399086,True,True
TotalTravelTime,percentile-clip,-0.8637806637806636,0.39611471019552574,0.23014006425428737,True,True
TotalTravelTime,zscore-sigmoid,-0.8585858585858585,0.34428335439534036,0.2402286234152079,True,True
TotalTravelTime,log-sigmoid,-0.7898989898989898,0.3081414529253993,0.24347243653900827,True,True
TotalTravelTime,boxcox-sigmoid,-0.8152958152958153,0.36684718566513314,0.25412927323954076,True,True
TotalTravelTime,lognormal-cdf,-0.8049062049062049,0.47096625005017984,0.25664818159882413,True,True
TotalTravelTime,empirical-cdf,-0.8406926406926406,0.5042179611781659,0.25813590754111415,True,True
TotalTravelTime,weibull-cdf,-0.8268398268398267,0.5471267833529243,0.25902920952572517,True,True
TotalTravelTime,log-tanh,-0.8095238095238093,0.5506839569655136,0.26141184277357066,True,True
TotalTravelTime,gamma-cdf,-0.8199134199134198,0.5711118383553533,0.26312256626651903,True,True
TotalWaitingTime + HaltRatio,min-max,-0.883982683982684,0.16994891193532471,0.14681951172186458,True,True
TotalWaitingTime + HaltRatio,popart,-0.8868686868686867,0.10412975615278922,0.1552555074885006,True,True
TotalWaitingTime + HaltRatio,percentile-clip,-0.8932178932178932,0.284233422426322,0.16526456057468134,True,True
TotalWaitingTime + HaltRatio,zscore-sigmoid,-0.898989898989899,0.24825360953880235,0.16701385220370094,True,True
TotalWaitingTime + HaltRatio,gamma-cdf,-0.9047619047619048,0.43074714563758426,0.23423535928848838,True,True
TotalWaitingTime + HaltRatio,empirical-cdf,-0.9024531024531024,0.4593739809135088,0.24495767066773558,True,True
TotalWaitingTime + HaltRatio,weibull-cdf,-0.904184704184704,0.447715548011067,0.24666957149095756,True,True
TotalWaitingTime + HaltRatio,boxcox-sigmoid,-0.9024531024531024,0.29884137947786543,0.2547724945721654,True,True
TotalWaitingTime + HaltRatio,log-tanh,-0.903030303030303,0.36085520300052165,0.2855386087587531,True,True
TotalWaitingTime + HaltRatio,lognormal-cdf,-0.903030303030303,0.303208035268186,0.2902042048963811,True,True
TotalWaitingTime + HaltRatio,log-sigmoid,-0.9024531024531024,0.19607077711253998,0.2963561730294395,True,True
