combo,n_metrics,avg_monotonicity,mono_pass_pct,mono_ok,avg_iqr,iqr_pass_pct,iqr_ok,avg_eta2,eta2_within,avg_antistary_r,antistary_ok,avg_state_r,state_corr_ok,passed,is_current
triplet_TP+Std+Halt + triplet_Speed+CO2+Halt,2,0.9428571428571425,0.0,False,0.27025076943004533,100.0,True,0.06483520319996483,0.9351647968000352,0.10949394344326076,False,0.33784823198946234,True,False,False
TotalCO2 + triplet_TP+Std+Halt,2,-0.9333333333333332,95.23809523809523,True,0.1357133662134285,80.95238095238095,True,0.06649085241990017,0.9335091475800998,-0.2050980444237175,False,0.26274952777418187,True,False,False
SpeedStd + triplet_Speed+Std+Halt,2,0.9428571428571425,0.0,False,0.2916517586859458,100.0,True,0.06673789810046601,0.933262101899534,0.10371717951188231,False,0.3548999117497937,True,False,False
AvgOccupancy,1,-0.9619047619047617,100.0,True,0.07899924594958106,28.57142857142857,False,0.06857092805342803,0.931429071946572,-0.5081840678649945,True,0.6138509242289528,True,False,False
TotalWaitingTime + AvgSpeed,2,-0.9619047619047617,100.0,True,0.20918977651691548,100.0,True,0.0706689648419568,0.9293310351580432,-0.2532353298456913,False,0.4089123136968836,True,False,False
TotalCO2 + triplet_TP+CO2+Halt,2,-0.9238095238095235,90.47619047619048,True,0.11327162420788,61.904761904761905,True,0.07248442101920864,0.9275155789807914,-0.13115253162839133,False,0.3531797140979432,True,False,False
TotalTravelTime + triplet_Speed+CO2+Halt,2,0.9666666666666666,0.0,False,0.2429837816081672,100.0,True,0.07256670725527041,0.9274332927447296,0.17299770492523325,False,0.34544021002600256,True,False,False
SpeedStd,1,0.952380952380952,0.0,False,0.29395040683476015,100.0,True,0.07308214846599438,0.9269178515340056,0.06291131528404173,False,0.2920074544246625,True,False,False
AvgSpeed + reward_plain,2,-0.8285714285714285,90.47619047619048,True,0.10235934431372608,33.33333333333333,True,0.07375425797266393,0.9262457420273361,-0.2294988544398437,False,0.3319350301706694,True,False,False
QueueLength + reward_halt,2,-0.8619047619047616,95.23809523809523,True,0.09987964881185382,66.66666666666666,False,0.07497039485272051,0.9250296051472795,-0.17542207355035355,False,0.233408795544067,True,False,False
triplet_Speed+Std+Halt + triplet_TP+CO2+Halt,2,0.9619047619047617,0.0,False,0.18563708184974512,100.0,True,0.08180176566092878,0.9181982343390712,0.18671506393709092,False,0.34956210230445284,True,False,False
Throughput + triplet_Speed+Std+Halt,2,0.9476190476190474,0.0,False,0.18503848439498233,100.0,True,0.08876005917143115,0.9112399408285689,0.29083787508370434,False,0.5018676113996244,True,False,False
HaltRatio + triplet_Speed+CO2+Halt,2,0.9571428571428569,0.0,False,0.1483891701471034,76.19047619047619,True,0.09454120761719538,0.9054587923828046,-0.018548931534136705,False,0.22362243133143084,True,False,False
Throughput + triplet_TP+CO2+Halt,2,0.9714285714285712,0.0,False,0.12823306475410534,76.19047619047619,True,0.09780670224780644,0.9021932977521936,0.3293819565829459,False,0.3612297757632385,True,False,False
triplet_Speed+CO2+Halt + triplet_TP+CO2+Halt,2,0.9714285714285712,0.0,False,0.2099505526170003,100.0,True,0.10020562965470034,0.8997943703452996,0.2082509888908437,False,0.35731160814931784,True,False,False
TotalCO2 + TotalTravelTime,2,-0.9523809523809522,100.0,True,0.18113831470620803,100.0,True,0.1002167456880295,0.8997832543119705,-0.19355381166676414,False,0.28107133960773617,True,False,False
TotalCO2 + reward_plain,2,-0.9523809523809522,95.23809523809523,True,0.12607936534573805,80.95238095238095,True,0.10194701364943586,0.8980529863505642,-0.25105941265785164,False,0.29734538202264577,True,False,False
Throughput,1,0.9714285714285712,0.0,False,0.10533363006053002,52.38095238095239,True,0.10233484674874017,0.8976651532512598,0.44913826314662186,False,0.5752933030465833,True,False,False
SpeedStd + triplet_Speed+CO2+Halt,2,0.9476190476190474,0.0,False,0.2860222504537613,100.0,True,0.10279072179781983,0.8972092782021802,0.15114232095253954,False,0.40250139441767696,True,False,False
