step,control_mode,phase,prev_phase,TotalTravelTime,AvgTravelTime,TotalTravelTime_Raw,AvgTravelTime_Raw,TotalWaitingTime,AvgWaitingTime,TotalCO2,AvgCO2,VehCount,AvgSpeed,AvgOccupancy,QueueLength,Throughput,SpeedStd,HaltRatio,det_occ_mean,det_occ_max,det_veh_sum,det_veh_mean,det_speed_mean,det_speed_min,n_detectors,d0_occ,d0_veh,d0_speed,d1_occ,d1_veh,d1_speed,d2_occ,d2_veh,d2_speed,d3_occ,d3_veh,d3_speed,d4_occ,d4_veh,d4_speed,d5_occ,d5_veh,d5_speed,d6_occ,d6_veh,d6_speed,d7_occ,d7_veh,d7_speed,d8_occ,d8_veh,d8_speed,d9_occ,d9_veh,d9_speed,d10_occ,d10_veh,d10_speed,d11_occ,d11_veh,d11_speed
20,actuated,0,7,1357.5558815476275,123.41417104978431,58637.273136300406,4886.4394280250335,408.2,6.826086956521739,99362.35194423779,1661.577791709662,59.8,1.2974973777212682,41.780990933283086,28.4,33,1.0415536077400227,0.47491638795986624,41.780990933283086,100.0,6.6,0.5499999999999999,1.4346654647830726,0.0,12,0.0,0.0,0.0,11.63476771162209,0.2,8.59492879261431,100.0,1.0,0.0,40.0,0.6,0.0,40.0,0.6,0.0,60.0,0.8,0.0,60.0,0.8,0.0,40.0,0.6,0.0,40.0,0.6,0.0,9.737123487774966,0.4,8.62105678478256,0.0,0.0,0.0,100.0,1.0,0.0
21,actuated,0,0,1175.5497660162239,104.95980053716285,252456.60053753946,21038.050044794956,239.4,3.99,101463.2974830096,1691.0549580501602,60.0,1.4980146285845233,47.26516709394905,25.4,38,1.0068601058810673,0.42333333333333334,47.26516709394905,100.0,7.6,0.6333333333333333,1.7094805403808175,0.0,12,42.31472303663281,0.6,6.919674373305336,0.0,0.0,0.0,100.0,1.0,0.0,34.72447628895566,0.8,2.765300181238283,48.8479410482222,0.8,2.9743388862937334,81.60740345410318,1.0,1.5129202570622047,36.167795430237106,0.6,1.8667717094782226,33.50399622925693,0.8,2.675313613135178,90.01566963998073,1.0,1.7994474640568532,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0
22,actuated,0,0,841.6170797502207,76.51064361365643,60949.656704656416,5079.138058721368,318.0,5.501730103806229,100313.4492589665,1735.5268037883477,57.8,1.9378256479058784,56.625934572462604,31.4,43,1.5835688227503597,0.5432525951557093,56.6259345724626,100.0,8.6,0.7166666666666667,1.982002275949389,0.0,12,100.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,39.279595881397995,0.8,4.911143885343768,0.0,0.2,0.0,100.0,1.0,0.0,26.030303512255273,0.8,4.085898637044633,8.256974236947485,0.6,4.506849795291007,100.0,1.0,0.0,18.756808642853002,0.2,4.103306560051549,87.18753259609741,1.0,6.176828433661708,100.0,1.0,0.0
23,actuated,0,0,1558.9513850501392,134.39236078018442,2270.5201431830437,189.21001193192032,492.4,8.856115107913668,94518.36499683153,1699.9705934681929,55.6,2.2554149523322495,60.587667299579245,38.0,40,2.0729455177831775,0.6834532374100719,60.58766729957924,100.0,8.0,0.6666666666666666,1.7529427896728695,0.0,12,100.0,1.0,0.0,1.6911763853920547,0.2,7.457826773936078,100.0,1.0,0.0,10.539494489145795,0.4,8.356559183914214,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,14.821336720413,0.4,5.220927518224146,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
24,actuated,0,0,744.2663394692788,84.57572039423623,1686913.435784626,140576.11964871883,677.2,11.964664310954063,90720.64316586251,1602.838218478136,56.6,2.3181042560312055,68.36958701192988,43.8,46,2.778950017066388,0.773851590106007,68.36958701192988,100.0,9.200000000000001,0.7666666666666666,2.0916063290011757,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,7.373056129545148,0.4,8.533298777230083,100.0,1.0,0.0,7.971886159369319,0.4,7.963134133722632,5.090101854244153,0.4,8.602843037061396,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
25,actuated,1,0,1634.5691685016404,157.17011235592696,1431813.8828022778,119317.82356685649,762.4,12.791946308724832,98064.07506349687,1645.370386971424,59.6,1.1908671088797684,55.463579963022106,40.8,38,1.1491320218918226,0.6845637583892618,55.463579963022106,100.0,7.6,0.6333333333333333,1.0209224543948243,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.90837692441494,0.6,2.1038980960675477,0.0,0.0,0.0,2.3171966798901167,0.4,8.38032627319917,29.337385951960187,0.6,1.7668450834711726,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
26,actuated,2,1,899.9607755531799,97.82182342969348,1957993.60026622,163166.13335551834,881.8,14.50328947368421,102652.08363045899,1688.356638658865,60.8,1.3851380400425144,57.22706731398906,39.6,39,1.4842373659119867,0.6513157894736842,57.22706731398906,100.0,7.8,0.65,1.2249541950800449,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,11.806084092003744,0.2,8.470209022797826,0.0,0.0,0.0,28.908360495407237,0.8,3.3919049464519815,0.0,0.0,0.0,0.0,0.0,0.0,46.010363180457716,0.8,2.8373363717107303,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
27,actuated,2,2,962.1826311147719,89.09098436247888,1200962.182631115,100080.18188592624,1048.2,16.691082802547772,104290.92642188861,1660.6835417498187,62.8,1.769551002489288,60.5444651046227,40.8,41,1.9673674407339599,0.6496815286624203,60.5444651046227,100.0,8.2,0.6833333333333332,1.871088711738838,0.0,12,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,11.275577248264312,0.2,8.868725547101665,23.59274435316763,0.6,4.490605593742279,0.0,0.0,0.0,29.74639425709995,0.4,5.189707437201631,61.91886539694053,1.0,3.9040259628204814,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0,0.0
28,actuated,3,2,1137.8908393962226,105.36026290705765,205100.45054586855,17091.704212155713,552.0,8.761904761904763,104802.7357139065,1663.5354875223252,63.0,1.1413599620100097,56.03775141117808,32.2,43,0.7517348824614378,0.5111111111111111,56.03775141117808,100.0,8.6,0.7166666666666667,0.6700007381811486,0.0,12,80.0,1.0,0.0,60.0,0.8,0.0,80.0,1.0,0.0,0.0,0.0,0.0,12.45301693413694,0.2,8.030182607868632,100.0,1.0,0.0,40.0,0.6,0.009826250305150903,0.0,0.4,0.0,100.0,1.0,0.0,60.0,0.8,0.0,80.0,1.0,0.0,60.0,0.8,0.0
29,actuated,4,3,1148.0835779492356,95.67363149576964,1148.0835779492356,95.67363149576964,270.6,4.322683706070287,109206.45765360384,1744.5121030927132,62.6,1.5734698834854213,41.92685949234932,24.2,34,0.8420857401499061,0.3865814696485623,41.92685949234933,100.0,6.8,0.5666666666666665,1.8472400976928158,0.0,12,20.923043216415635,0.6,1.4982886935133357,25.027070465022234,0.6,1.7500351642778917,66.23308101353075,0.8,1.7794824569140664,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,19.471189550868644,0.2,3.7180137475270714,40.092751865457785,0.6,7.929824276079652,100.0,1.0,0.0,35.70020740611426,0.6,1.8422112559723836,22.983287393724368,0.6,1.8076925637384682,72.69168299705825,0.8,1.8413330142909206
