flow_max,episode,junction,mean_TotalWaitingTime,mean_TotalCO2,mean_AvgWaitingTime,mean_AvgCO2,mean_VehCount,mean_AvgSpeed,mean_QueueLength
900,1,2632893078,58.27942857142858,32458.515816860243,2.8739423755363225,1658.4446578212794,19.556571428571427,4.191030028202416,6.476285714285714
900,1,288992529,55.57,47523.82404405827,1.7822748415293823,1576.5795358234025,30.251142857142856,1.7046286528843457,8.765142857142857
900,1,601392292,17.26142857142857,25914.654033237217,1.0164543481215575,1917.9546300275151,13.966857142857142,4.280582345141255,2.766285714285714
900,2,2632893078,75.62228571428572,32524.516213436633,3.7793028293904674,1641.0093990540554,19.809428571428572,4.1895655231140925,7.619142857142856
900,2,288992529,50.81,41303.75037393752,1.8373743280709693,1637.4770608339904,25.814857142857146,2.0683344987410774,7.238571428571428
900,2,601392292,60.63285714285714,54633.881963500804,1.684308107482575,1597.296499411562,34.794,1.8876199143103158,9.092285714285714
1000,0,2632893078,59.48714285714286,33151.93365671219,2.9639051547125446,1706.4597841728175,19.71857142857143,3.5984218625659974,6.582571428571428
1000,0,288992529,10.625142857142858,18428.439557924823,0.798001236940461,1944.965462219616,9.820571428571428,4.500095770446431,1.9208571428571428
1000,0,601392292,32.46171428571429,46886.78103741802,1.028939757526172,1632.3962559167023,29.038285714285713,3.611812741652422,5.613428571428571
1000,1,2632893078,52.324000000000005,25272.228579818468,3.1119847008557247,1760.8962395464775,14.697428571428572,4.367089589386501,5.456285714285714
1000,1,288992529,53.36257142857142,46940.58643491081,1.7267764606840115,1578.2830502502031,29.895714285714284,1.7448340473431734,8.019142857142857
1000,1,601392292,64.61742857142858,56891.553315839185,1.8017279239056194,1576.8216432995484,36.41542857142858,1.9039750311934476,9.404285714285715
1000,2,2632893078,39.65914285714286,30047.597569634072,2.158998854901484,1686.6753951992405,17.936,4.616125647750239,5.728857142857143
1000,2,288992529,36.43342857142857,39874.37222137337,1.3669912841812961,1615.0516386896352,24.83885714285714,2.75893104551498,6.107142857142857
1000,2,601392292,61.56171428571428,51330.771389474314,1.7745522936643494,1586.0309681245537,32.50685714285714,2.796529917211205,8.604857142857144
1100,0,2632893078,67.47600000000001,32143.285261100344,3.4347938698550777,1649.302935948185,19.463428571428572,4.358292856155038,7.434571428571428
1100,0,288992529,17.902,35862.95655730159,0.7491677984513074,1622.81338529146,22.27542857142857,3.1815410169930547,4.202571428571429
1100,0,601392292,83.91314285714286,59978.025576596316,2.1248747591071853,1559.0274428684743,38.75085714285714,1.7237398057745528,11.038285714285715
1100,1,2632893078,59.84285714285714,31280.36121254873,3.0558189290475157,1659.2108713370721,18.867428571428572,4.481149340681182,6.751714285714286
1100,1,288992529,27.924285714285713,38319.82832376951,1.0851925603671693,1615.5841972524893,23.88228571428571,2.877279244986678,5.311428571428571
1100,1,601392292,84.9617142857143,57063.7642146061,2.129573632519598,1585.5650233996287,36.357142857142854,1.8478071758854688,10.348
1100,2,2632893078,96.93600000000002,47015.89754095932,3.3315891703686287,1583.637965302152,29.78657142857143,1.9616899519706352,11.22
1100,2,288992529,8.242285714285714,16913.742798769366,0.7056783765796167,1968.8614313839735,8.868285714285715,4.793849166438653,1.5265714285714285
1100,2,601392292,13.353714285714286,21055.89466010362,0.9187176896031201,1965.6633578654632,11.093142857142857,4.9774141687051605,2.142
