Step,Action
3255.0,0
3260.0,3
3265.0,3
3270.0,2
3275.0,3
3280.0,2
3285.0,1
3290.0,2
3295.0,1
3300.0,0
3305.0,1
3310.0,0
3315.0,3
3320.0,0
3325.0,3
3330.0,1
3335.0,3
3340.0,1
3345.0,1
3350.0,1
3355.0,0
3360.0,1
3365.0,0
3370.0,2
3375.0,0
3380.0,2
3385.0,0
3390.0,2
3395.0,0
3400.0,1
3405.0,0
3410.0,1
3415.0,2
3420.0,1
3425.0,2
3430.0,2
3435.0,0
3440.0,2
3445.0,0
3450.0,3
3455.0,0
3460.0,3
3465.0,0
3470.0,3
3475.0,0
3480.0,1
3485.0,0
3490.0,1
3495.0,3
3500.0,1
3505.0,3
3510.0,2
3515.0,3
3520.0,2
3525.0,1
3530.0,2
3535.0,1
3540.0,1
3545.0,1
3550.0,0
3555.0,1
3560.0,0
3565.0,1
3570.0,0
3575.0,1
3580.0,3
3585.0,1
3590.0,3
3595.0,1
