rank,run_id,run_dir,algorithm,reward_mode,num_layers,layer_size,total_timesteps,mean_reward,std_reward,n_steps,last_steps_used
618,9eie5xdq,run-20260405_040433-9eie5xdq,ppo,speed_throughput,5,8,75000.0,0.30659334952805756,0.038969117776012925,757,100
619,dmfm12qe,run-20260321_224817-dmfm12qe,ppo,halt_ratio,1,32,,0.30384008956753794,0.08469387781140592,1003,100
620,ow55crtf,run-20260321_232442-ow55crtf,ppo,halt_ratio,3,16,,0.30330290666324633,0.0897317730835681,1003,100
621,g6m4sbix,run-20260321_224819-g6m4sbix,ppo,halt_ratio,1,32,,0.3029482584854548,0.08255798534780677,1003,100
622,nhxrwsm2,run-20260322_014612-nhxrwsm2,a2c,speed_throughput,3,64,,0.3022138583778204,0.04053935900279346,1003,100
623,fkk8ip7h,run-20260405_112511-fkk8ip7h,ppo,speed_throughput,6,8,75000.0,0.3010085125936249,0.037196164589157456,757,100
624,0ntbk2jg,run-20260404_225708-0ntbk2jg,ppo,speed_throughput,3,8,50000.0,0.30032975069117673,0.03197450403090751,512,100
625,3yfulxma,run-20260404_190502-3yfulxma,ppo,speed_throughput,2,64,,0.3002403245418627,0.03199862866979729,102,100
626,nup1zx9x,run-20260322_012946-nup1zx9x,a2c,speed_throughput,2,64,,0.2987051676302053,0.040283221103818816,1003,100
627,rwjzlyk1,run-20260322_014019-rwjzlyk1,a2c,speed_throughput,3,16,,0.29824654853805943,0.03700683552254949,1003,100
628,m6z4iyby,run-20260322_013521-m6z4iyby,a2c,speed_throughput,3,8,,0.297472629525574,0.03931819816741976,1003,100
629,dlmwmbmj,run-20260322_011028-dlmwmbmj,a2c,speed_throughput,1,32,,0.29684204049338847,0.03624253657295561,1003,100
630,pche3mbq,run-20260322_014622-pche3mbq,a2c,speed_throughput,3,128,,0.29641093120703066,0.036479732039405605,1003,100
631,c4an4mzy,run-20260322_012518-c4an4mzy,a2c,speed_throughput,2,32,,0.2951735528556894,0.03597699866006487,1003,100
632,ljls9tw2,run-20260322_013000-ljls9tw2,a2c,speed_throughput,2,64,,0.2950691258615229,0.03446679585948486,1003,100
633,l5ki35i1,run-20260322_011028-l5ki35i1,a2c,speed_throughput,1,32,,0.29462130272359194,0.03593948942973134,1003,100
634,6tqy30eq,run-20260322_010150-6tqy30eq,a2c,speed_throughput,1,16,,0.29440122819276937,0.03112483587168334,1003,100
635,n5wijmmh,run-20260322_013104-n5wijmmh,a2c,speed_throughput,2,128,,0.2941091392433286,0.034091173747331664,1003,100
636,61g8ln44,run-20260322_011459-61g8ln44,a2c,speed_throughput,1,128,,0.29409279542330213,0.03585441133505235,1003,100
637,29enazny,run-20260322_012008-29enazny,a2c,speed_throughput,2,8,,0.29398264942589525,0.030950895799890726,1003,100
638,a3j97rdm,run-20260322_011020-a3j97rdm,a2c,speed_throughput,1,32,,0.29396062823277974,0.0333207462972506,1003,100
639,xdqhe3we,run-20260322_014640-xdqhe3we,a2c,speed_throughput,3,128,,0.2939401618163285,0.03144828876467616,1003,100
640,r5brzpsk,run-20260322_012022-r5brzpsk,a2c,speed_throughput,2,8,,0.29374426025696687,0.03238678016298266,1003,100
641,lkjjh4l1,run-20260322_013515-lkjjh4l1,a2c,speed_throughput,3,8,,0.2935804423234513,0.03483575666943604,1003,100
642,h9tjwe7p,run-20260322_014055-h9tjwe7p,a2c,speed_throughput,3,32,,0.2935780649857811,0.035340561522016305,1003,100
643,yq22b4kz,run-20260322_012023-yq22b4kz,a2c,speed_throughput,2,16,,0.29332691702999536,0.03977131735638006,1003,100
644,1bhcd1at,run-20260322_011000-1bhcd1at,a2c,speed_throughput,1,16,,0.2932863526396639,0.02867523314379903,1003,100
645,ckchovot,run-20260322_010059-ckchovot,a2c,speed_throughput,1,8,,0.2932360939044893,0.029476730148928456,1003,100
646,864j0b51,run-20260322_013527-864j0b51,a2c,speed_throughput,3,16,,0.2930934990294092,0.03670002424599978,1003,100
647,3jgaexyz,run-20260322_012124-3jgaexyz,a2c,speed_throughput,2,16,,0.29296079772380607,0.03585765594479927,1003,100
648,nrcnh613,run-20260322_011109-nrcnh613,a2c,speed_throughput,1,64,,0.29291708752414786,0.030032093550951634,1003,100
649,uddajbqe,run-20260322_011459-uddajbqe,a2c,speed_throughput,1,64,,0.2925787436156168,0.031018621726859995,1003,100
650,za5ipit5,run-20260322_014147-za5ipit5,a2c,speed_throughput,3,64,,0.2925212580093303,0.03274013498614717,1003,100
651,ubmk5hix,run-20260322_014033-ubmk5hix,a2c,speed_throughput,3,32,,0.29231228793001485,0.03737265541558057,1003,100
652,ovessq0i,run-20260322_010105-ovessq0i,a2c,speed_throughput,1,8,,0.29209102856832986,0.035180195189659695,1003,100
653,9zjen05j,run-20260322_011458-9zjen05j,a2c,speed_throughput,1,64,,0.2920084993470559,0.03059214552049434,1003,100
654,hpbywu2b,run-20260321_224808-hpbywu2b,ppo,halt_ratio,1,32,,0.29193794160145875,0.08281588801903819,1003,100
655,bs9ygrsx,run-20260322_012511-bs9ygrsx,a2c,speed_throughput,2,16,,0.29186436072026517,0.03634264299984162,1003,100
656,3yms5eis,run-20260322_012516-3yms5eis,a2c,speed_throughput,2,32,,0.2910715140344911,0.037023247145559816,1003,100
657,ji8pvd3p,run-20260322_010107-ji8pvd3p,a2c,speed_throughput,1,16,,0.2910516442025077,0.03563917155440988,1003,100
658,s8978l23,run-20260322_011515-s8978l23,a2c,speed_throughput,1,128,,0.2904926507646442,0.030162165105528885,1003,100
659,4ltb5cox,run-20260322_014630-4ltb5cox,a2c,speed_throughput,3,128,,0.2898251289604874,0.031621223629083435,1003,100
660,z03h1fs8,run-20260322_014056-z03h1fs8,a2c,speed_throughput,3,32,,0.2897741300014464,0.031076901994882805,1003,100
661,fztfij73,run-20260322_013016-fztfij73,a2c,speed_throughput,2,128,,0.2892498236282936,0.03048761046493087,1003,100
662,eirgzjk0,run-20260321_232421-eirgzjk0,ppo,halt_ratio,3,16,,0.28922011057869124,0.08927099525282979,1003,100
663,kkr82fbs,run-20260322_013017-kkr82fbs,a2c,speed_throughput,2,128,,0.2884688459059641,0.03025662311423299,1003,100
664,ksrglws4,run-20260322_013539-ksrglws4,a2c,speed_throughput,3,16,,0.28834570037385726,0.030322903385289646,1003,100
665,t30076m7,run-20260322_014611-t30076m7,a2c,speed_throughput,3,64,,0.2882863598713688,0.03161167030135974,1003,100
666,ciut96hf,run-20260322_011507-ciut96hf,a2c,speed_throughput,1,128,,0.28791577302371335,0.03276256847495199,1003,100
667,v6qixe7k,run-20260321_230454-v6qixe7k,ppo,halt_ratio,2,16,,0.2879058292974212,0.07920127621176835,1003,100
668,ukn3br6f,run-20260322_010039-ukn3br6f,a2c,speed_throughput,1,8,,0.28732493621426963,0.030217109603545508,1003,100
669,jejbcad3,run-20260322_012534-jejbcad3,a2c,speed_throughput,2,64,,0.2872203817964581,0.03288694331924404,1003,100
670,xbzs45b7,run-20260322_012524-xbzs45b7,a2c,speed_throughput,2,32,,0.28619694421327624,0.03057997111387681,1003,100
671,60f925h3,run-20260322_013512-60f925h3,a2c,speed_throughput,3,8,,0.2859721234019621,0.03683985291458733,1003,100
672,47hricd5,run-20260322_011945-47hricd5,a2c,speed_throughput,2,8,,0.284894193404422,0.03059793492372625,1003,100
673,gx3yaxil,run-20260321_233945-gx3yaxil,ppo,halt_ratio,3,16,,0.28414066836919477,0.0788994313929626,1003,100
