rank,sweep_id,sweep_label,run_id,algorithm,reward_mode,num_layers,layer_size,total_timesteps,learning_rate,gamma,batch_size,gradient_steps,mean_reward,std_reward,n_steps,last_steps_used
242,wqs01xjl,PPO | speed_throughput (156 run),vwjc6kt0,ppo,speed_throughput,1,128,75000,0.004510404255762721,0.9219971597337197,32,4,0.4583905864451249,0.09469686767870242,757,100
243,wqs01xjl,PPO | speed_throughput (156 run),ef49zjo0,ppo,speed_throughput,3,8,50000,0.0001813580768301129,0.9326757824854468,256,1,0.4581561644947616,0.0671425666742723,512,100
244,wqs01xjl,PPO | speed_throughput (156 run),qoo8eeqk,ppo,speed_throughput,5,16,50000,0.0004873421895322194,0.9933579075205482,32,1,0.44916144732851004,0.0805005130953612,512,100
245,wqs01xjl,PPO | speed_throughput (156 run),iog33qpp,ppo,speed_throughput,4,16,75000,7.829057401862522e-05,0.9746797124361252,256,4,0.44648200259880577,0.04728757020065245,757,100
246,wqs01xjl,PPO | speed_throughput (156 run),rkndy1x0,ppo,speed_throughput,3,128,75000,0.0014503172997964837,0.9343074447165572,32,2,0.435786594191342,0.06472582225809159,757,100
247,wqs01xjl,PPO | speed_throughput (156 run),5vcfmg9u,ppo,speed_throughput,1,8,50000,0.003786167526871266,0.99872856417812,64,1,0.4211304717241088,0.05714191578687695,512,100
248,wqs01xjl,PPO | speed_throughput (156 run),x8h2oke9,ppo,speed_throughput,4,128,75000,5.864625685137572e-05,0.9919628906661812,128,2,0.4126019904694607,0.05512461655529166,757,100
249,wqs01xjl,PPO | speed_throughput (156 run),vkmo2hfz,ppo,speed_throughput,5,256,50000,0.0004858043606724654,0.9246790829268124,32,4,0.382952493255138,0.08759757400290215,512,100
250,wqs01xjl,PPO | speed_throughput (156 run),o94583f7,ppo,speed_throughput,6,8,75000,6.237681988250226e-05,0.9767442564221605,32,4,0.37382975986497885,0.054782231998588636,757,100
251,wqs01xjl,PPO | speed_throughput (156 run),ymwry9bd,ppo,speed_throughput,4,8,50000,6.610713767742204e-05,0.9278811765977916,128,2,0.3570201075698876,0.04277271291369241,512,100
252,wqs01xjl,PPO | speed_throughput (156 run),nbbf3d62,ppo,speed_throughput,1,32,50000,8.099546806390581e-05,0.9949312061082256,128,2,0.3336871960707288,0.04978701221275548,512,100
253,wqs01xjl,PPO | speed_throughput (156 run),4969d99y,ppo,speed_throughput,1,8,100000,5.3389374016698926e-05,0.9742420461568996,128,1,0.32972523127388137,0.04479085064013031,1003,100
254,wqs01xjl,PPO | speed_throughput (156 run),9eie5xdq,ppo,speed_throughput,5,8,75000,5.19821653037531e-05,0.9430339686556156,256,1,0.30659334952805756,0.038969117776012925,757,100
255,wqs01xjl,PPO | speed_throughput (156 run),fkk8ip7h,ppo,speed_throughput,6,8,75000,5.336112769109859e-05,0.9809069178816212,256,1,0.3010085125936249,0.037196164589157456,757,100
256,wqs01xjl,PPO | speed_throughput (156 run),0ntbk2jg,ppo,speed_throughput,3,8,50000,6.223167347826275e-05,0.9220299895455564,256,2,0.30032975069117673,0.03197450403090751,512,100
